Id,SalePrice
2658,161517.14996589825
2718,203382.55145328763
2414,191767.0871067221
1989,106562.74898299108
625,183407.98339310935
333,106009.40425010576
1327,93178.79233102631
858,155505.9271824283
95,193223.34309811672
1568,160342.21136749408
2482,179976.2670777114
1364,109492.30449420189
2584,148760.28036990837
818,275565.1162362662
2673,148450.2062783196
2089,98273.09477172211
1297,151096.89616220552
790,121660.19446581199
2616,188292.9538836649
720,194122.84919475083
222,130884.88800572697
557,124658.67078474163
1148,209319.13486092916
2766,146105.91152502256
534,175948.22893971647
1452,113574.50447122155
630,135303.39796153392
2648,154141.24687555258
125,156065.3498728742
1904,76319.57826987444
1670,109991.02551988898
756,110672.99974736104
717,248218.02793747882
1032,171224.21781122417
852,200372.6519447177
1731,159387.35542594612
2639,131375.9619522214
2071,83648.12129874699
1267,96674.69897542175
1851,190305.95696350862
567,150682.78793128056
2439,204082.44004369786
1898,160265.2905819906
647,155340.3332918957
2256,228880.0567577774
979,93744.57575043703
1444,217595.1043899549
2485,121970.69255738515
157,113220.18253036022
88,134557.3251589713
2003,111264.5566542655
186,208590.64328836463
1425,243537.37548463116
2695,121686.44926060576
738,100041.19037933483
395,148612.6312709603
1353,170106.77704872115
1878,147196.77165153358
390,162933.30339188673
1456,248775.4119933922
1103,323150.40192040283
1387,149544.60265444143
2070,125044.83034715136
1199,182219.13175452664
2479,189104.92466621485
501,301221.76990969386
2362,101834.19299849377
1718,217523.60488384758
2188,106145.7160740913
1483,160661.97300572507
2557,83932.99721379808
437,338863.36407069693
2224,203158.77673828724
1628,161401.8563335357
397,138930.22236270015
587,206406.2030875944
2182,565119.4830202453
971,127190.59694866986
2611,148621.29797261683
1887,82669.42815545123
2399,370713.3083160554
2148,195168.23920070514
304,117158.98619606333
1997,127755.76256383673
2817,135270.09561765208
1431,184639.56293014743
427,315979.7139623739
263,119673.79980642855
598,184451.921643767
2895,216321.83239130265
687,147974.097551832
1822,137800.22265221935
2191,112568.87681575234
179,116828.60802803661
1009,232465.4610379778
2010,121295.92136459312
1991,136445.16950511915
1411,176007.99536871797
1721,230782.01469333807
1144,201314.4650319923
593,222222.79104653513
575,288361.969228321
1249,160184.46656887274
1604,120743.87222000226
1064,439083.56017413194
1923,157082.41847140162
1988,92675.59710286662
2325,174844.71310243715
114,208520.19372203999
2700,197493.3729183941
217,157858.2557896126
343,185586.53163459373
386,226521.5430492933
2005,94820.14541948514
2908,115323.07256468349
1814,217300.8269309
2446,523548.7092011134
208,146317.26151541263
1679,109171.20096956125
822,344295.3219810008
6,181541.90548722877
1781,425074.34705513954
2397,275752.3623177424
2340,310701.522951665
1618,154505.1395323865
2843,178062.9997919443
1061,385233.32457058114
2786,111022.95481838194
1935,138531.1432343552
1341,108912.40091549091
521,264329.6314122627
2136,138313.16368076138
996,184083.91381396167
227,136497.39139686746
135,160988.01619039575
1167,168090.44357428892
294,240952.07331542668
1776,191631.9817305709
540,166765.8068911304
1717,215571.72569034083
2303,122421.62885041746
116,184961.99439534382
127,125592.73510322237
1371,118229.33608212713
1014,165536.4116660104
1507,81224.82225422
702,143563.47165494948
750,152120.57092095897
261,145932.55882059876
1559,79466.71248086495
577,224764.6620896125
2812,193582.77123828293
2080,169967.25732358743
1368,96736.3560081343
2376,122009.50150634996
659,98956.82740634406
1235,138026.08598327418
332,83345.56352775509
1917,146591.28417214425
2094,254764.20822560618
1460,255401.19714727794
1471,207880.8316631572
1509,117814.06826556535
1922,127949.64732939571
433,430465.1888333031
460,268322.0300942733
1116,230577.02170132476
1137,175905.09647232713
53,168457.4873454367
2354,248052.17244663695
1475,194176.2966831671
1761,470798.6804977977
842,144340.15714810236
2739,181678.86420613606
2509,157500.5172432482
1007,196677.31979752984
2610,182929.99541151093
1952,104387.95768931459
2719,209499.98351025017
2921,104575.48562682461
1966,148683.8418734054
292,120724.87813695117
1204,191006.93493876592
1829,223195.17191163538
2419,176955.44130225937
391,146118.03625292896
798,117772.07251293707
481,196327.35183797614
193,211727.1469552271
555,111139.77275483396
899,91205.79610168088
2357,174012.0296421985
328,135624.19711888337
1356,109591.75244725178
1154,123784.07541688374
1730,170154.5810042835
2249,145021.27697661897
1119,271337.36162936006
2856,145519.76150719545
1394,122571.50928251357
2587,116981.77063652668
61,309837.97526868264
2661,177820.59372221213
2711,127271.88000573059
1147,198766.19929108492
757,121152.32427368374
2623,89522.31500117035
2378,150337.07341260387
1413,132796.46053435578
1722,211181.53519415716
1112,220213.3048825383
1623,186157.7296010437
1201,202878.30805585938
1513,130568.29427334538
957,237488.96153683093
1171,294508.27832874557
1145,205995.54809915976
2726,228856.81931825637
703,115415.80924878297
760,116388.57320129161
1964,141323.4846677924
2512,189677.04466823454
159,140544.9074864524
1281,168335.5406436853
468,171125.1920151392
290,115605.19723420202
665,92126.88666522055
1463,256439.127324484
1792,230351.2753751055
923,163963.0319055809
500,271410.6887376843
1408,142982.62773460476
331,82735.59174476427
170,113867.17595332174
2192,104207.32592697647
2571,317816.1115824175
2314,164157.73685102217
2647,80803.07249355118
422,424831.77887641673
2457,333893.79994201224
1838,193867.57711157398
2805,229841.2686576902
1645,162113.72138181247
1711,303346.5297910327
2825,236760.88962470015
322,331109.46338473976
2103,246901.7428033523
342,135975.82408851507
600,122477.57228598681
488,173047.0378992434
1725,309311.60506184853
2246,266811.47936545726
2847,152328.0817268983
806,246175.45619252513
530,220515.73093739914
963,200037.85407961183
2678,137189.1666720807
171,74088.29262572317
2401,427629.8392730504
